name,description,is_active
Amsterdam,Canal-lined city with artistic heritage,True
Bangkok,Vibrant city with ornate temples,True
Barcelona,Cosmopolitan city with Gaudi architecture and Mediterranean beaches,True
Chicago,Windy City known for architecture,True
Dubai,Luxurious desert city with stunning architecture and world-class shopping,True
Hong Kong,Dynamic financial hub with stunning skyline and mountain hikes,True
Istanbul,City straddling two continents with rich history and stunning mosques,True
Las Vegas,Entertainment capital with world-class casinos and spectacular shows,True
London,Historic city with royal heritage,True
Los Angeles,Entertainment capital with beaches,True
Miami,Tropical paradise with art deco architecture and vibrant nightlife,True
New York,The vibrant city that never sleeps with iconic landmarks like Times Square and Central Park,True
Paris,The romantic city of love with famous museums,True
Prague,City of a hundred spires with medieval architecture and charming streets,True
Rome,Eternal city with ancient history,True
San Francisco,Hilly city with Golden Gate Bridge,True
Singapore,green city-state known for its efficiency and Gardens by the Bay,True
Sydney,Coastal city famous for its Opera House and beautiful harbor,True
Tokyo,Modern metropolis blending ancient tradition with cutting-edge technology,True
Vienna,Imperial capital known for classical music and coffee house culture,True
